"","country_name","year","ny.gdp.mktp.kd","ny.gdp.mktp.kd.zg","se.com.durs","se.pre.durs","se.prm.ages","se.prm.durs","se.prm.enrl","se.prm.enrl.fe.zs","se.sec.ages","se.sec.durs","se.sec.enrl","sg.gen.parl.zs","sh.dth.imrt","sh.dth.mort","sh.dth.nmrt","sh.dyn.mort","sh.dyn.nmrt","sp.ado.tfrt","sp.dyn.amrt.fe","sp.dyn.amrt.ma","sp.dyn.imrt.in","sp.dyn.le00.fe.in","sp.dyn.le00.in","sp.dyn.le00.ma.in","sp.dyn.tfrt.in","sp.dyn.to65.fe.zs","sp.dyn.to65.ma.zs","vc.ihr.psrc.p5"
"1","Antigua and Barbuda",1999,938682324.49255,3.70789458252005,11,2,5,7,,,12,5,,,23,26,15,15.6,9,66.3492,134.334,182.095,13.8,75.747,73.327,70.747,2.316,80.52354,73.36745,
"2","Antigua and Barbuda",2000,1001496498.43775,6.69173929307314,11,2,5,7,13025,,12,5,5276,5.3,22,25,15,14.9,8.6,65.1598,132.267,180.197,13,75.947,73.541,70.969,2.316,80.84918,73.72209,5.98200612557427
"3","Antigua and Barbuda",2001,951881606.627174,-4.95407541493864,11,2,5,7,,,12,5,,5.3,21,24,14,14.2,8.3,63.9704,130.2,178.299,12.3,76.144,73.752,71.191,2.305,81.17481,74.07672,8.22977532713357
"4","Antigua and Barbuda",2002,961629833.390877,1.02410075957276,11,2,5,7,,,12,5,,5.3,20,23,14,13.6,8,62.781,128.133,176.401,11.7,76.338,73.957,71.413,2.288,81.50045,74.43135,5.79602624440683
"5","Antigua and Barbuda",2003,1019884488.65454,6.05790848420824,11,2,5,7,,,12,5,,5.3,19,22,13,13,7.7,61.3234,126.218,174.606,11.1,76.53,74.158,71.633,2.268,81.79855,74.76006,5.72783613806376
"6","Antigua and Barbuda",2004,1078389759.3889,5.7364604899071,11,2,5,7,,,12,5,,10.5,18,21,13,12.5,7.4,59.8658,124.304,172.811,10.6,76.719,74.354,71.852,2.246,82.09666,75.08876,4.53221840760506
"7","Antigua and Barbuda",2005,1147540484.14892,6.41240554799147,11,2,5,7,,,12,5,,10.5,17,20,12,12,7,58.4082,122.39,171.016,10.1,76.906,74.544,72.063,2.224,82.39476,75.41747,3.36123155524184
"8","Antigua and Barbuda",2006,1293605271.42034,12.7285084307718,11,2,5,7,,,12,5,,10.5,16,20,11,11.5,6.7,56.9506,120.475,169.222,9.6,77.091,74.727,72.265,2.203,82.69287,75.74617,12.1814819326475
"9","Antigua and Barbuda",2007,1413385625.56558,9.25942068972286,11,2,5,7,11569,48.9065589904785,12,5,7838,10.5,15,19,11,11.1,6.3,55.493,118.561,167.427,9.2,77.273,74.905,72.454,2.183,82.99097,76.07488,18.6034295969622
"10","Antigua and Barbuda",2008,1412959729.93684,-0.0301330097773302,11,2,5,7,11562,48.2874908447266,12,5,8628,10.5,15,18,10,10.7,5.9,54.247,117.031,165.5,8.7,77.452,75.078,72.63,2.164,83.2213,76.33343,17.3014122277731
"11","Antigua and Barbuda",2009,1241885106.24758,-12.1075371126752,11,2,5,7,11276,48.3327407836914,12,5,8557,10.5,14,17,9,10.3,5.6,53.001,115.501,163.573,8.3,77.628,75.247,72.793,2.146,83.45164,76.59197,17.0974877378955
"12","Antigua and Barbuda",2010,1152469068.51852,-7.20002496843168,11,2,5,7,11254,47.3342781066895,12,5,8436,10.5,13,16,9,9.8,5.3,51.755,113.97,161.646,7.8,77.8,75.412,72.945,2.13,83.68197,76.85052,6.33840758073547
"13","Antigua and Barbuda",2011,1128507775.4842,-2.07912677995967,11,2,5,7,10855,47.6738815307617,12,5,8449,10.5,12,15,8,9.5,5,50.509,112.44,159.719,7.4,77.967,75.574,73.091,2.115,83.9123,77.10906,
"14","Antigua and Barbuda",2012,1168080145.02604,3.50661026902191,11,2,5,7,10453,48.2158203125,12,5,8383,10.5,11,15,8,9.1,4.8,49.263,110.91,157.793,7,78.129,75.733,73.234,2.102,84.14264,77.36761,10.3330336753567
"15","Antigua and Barbuda",2013,1166866906.03994,-0.103866073852814,11,2,5,7,,,12,5,,10.5,11,14,7,8.7,4.6,48.113,109.605,156.198,6.6,78.287,75.892,73.38,2.089,84.33782,77.61895,
